,date,count,tavg,tmin,tmax,prcp,wdir,wspd,pres
102,2019-05-10,54,63.3,57.0,75.0,0.0,224.0952380952381,7.8,1009.7
103,2019-05-11,10,61.9,55.0,72.0,0.0,227.9047619047619,7.6,1014.3
104,2019-05-12,1,61.5,55.9,70.0,0.0,231.7142857142857,6.6,1015.2
105,2019-05-13,55,60.1,53.1,71.1,0.0,235.52380952380952,7.9,1016.7
106,2019-05-14,84,60.4,55.9,66.9,0.0,239.3333333333333,7.0,1016.6
107,2019-05-15,62,61.0,57.9,66.9,0.0033333333333333,243.14285714285717,10.1,1009.7
108,2019-05-16,48,56.5,53.1,61.0,0.0066666666666666,246.95238095238096,8.6,1012.1
109,2019-05-17,43,56.7,52.0,66.0,0.01,250.7619047619048,7.8,1019.6
110,2019-05-18,64,52.9,46.9,60.1,0.0133333333333333,254.57142857142856,9.1,1013.3
111,2019-05-19,398,54.1,48.0,61.0,0.0166666666666666,258.3809523809524,5.9,1009.2
112,2019-05-20,270,56.7,48.9,66.0,0.02,262.1904761904762,5.8,1014.6
113,2019-05-21,150,55.8,51.1,60.1,0.0133333333333333,266.0,10.9,1013.5
114,2019-05-22,138,61.0,53.1,71.1,0.0066666666666666,327.0,11.3,1009.7
115,2019-05-23,36,62.4,54.0,73.9,0.0,327.1666666666667,8.8,1010.1
116,2019-05-24,9,62.2,55.9,72.0,0.0,327.3333333333333,8.9,1015.2
117,2019-05-26,4,55.8,53.1,62.1,0.0,327.6666666666667,9.1,1011.5
118,2019-05-28,17,61.0,54.0,72.0,0.0,328.0,7.6,1016.2
119,2019-05-29,67,61.9,54.0,75.9,0.0,328.1666666666667,7.5,1012.4
120,2019-05-30,49,59.9,55.9,68.0,0.0,328.3333333333333,7.4,1013.2
121,2019-05-31,12,64.4,55.0,78.1,0.0,328.5,6.0,1011.9
122,2019-06-01,141,65.5,55.9,80.1,0.0,328.6666666666667,6.3,1009.5
123,2019-06-02,6,63.9,55.9,75.0,0.0,328.8333333333333,10.0,1011.1
124,2019-06-03,6,65.8,57.0,77.0,0.0,329.0,6.4,1012.4
125,2019-06-05,32,70.3,62.1,82.9,0.0,329.3333333333333,6.2,1011.6
126,2019-06-06,21,63.9,55.0,73.9,0.0,329.5,8.1,1014.6
127,2019-06-07,3,62.8,52.0,73.9,0.0,329.6666666666667,8.8,1015.7
128,2019-06-10,21,83.3,69.1,100.0,0.0,330.1666666666667,5.0,1014.7
129,2019-06-11,136,84.0,66.9,99.0,0.0,330.3333333333333,6.0,1014.3
130,2019-06-12,4,80.4,68.0,93.9,0.0,330.5,6.5,1012.1
131,2019-06-13,11,72.30000000000001,62.5,84.45,0.0,330.6666666666667,7.6,1012.8
132,2019-06-14,34,64.2,57.0,75.0,0.0,330.8333333333333,7.4,1013.6
133,2019-06-15,38,61.7,55.9,69.1,0.0,331.0,7.8,1014.4
134,2019-06-16,98,62.6,57.0,72.0,0.0,331.1666666666667,6.9,1012.35
135,2019-06-17,183,66.4,55.0,81.0,0.0,331.3333333333333,8.9,1010.3
136,2019-06-18,280,68.0,57.9,79.0,0.0,331.5,9.0,1012.7
137,2019-06-19,67,66.4,57.9,79.0,0.0,331.6666666666667,9.1,1013.2
138,2019-06-20,67,66.9,60.1,77.0,0.0,331.8333333333333,10.2,1011.6
139,2019-06-21,48,66.4,57.0,79.0,0.0,332.0,8.9,1012.0
140,2019-06-22,5,71.2,57.0,88.0,0.0,332.1666666666667,7.7,1013.4
141,2019-06-23,26,73.9,60.1,89.1,0.0,332.3333333333333,6.1,1013.4
142,2019-06-24,15,70.2,59.0,84.0,0.0,332.5,7.1,1011.1
143,2019-06-25,27,68.2,57.0,81.0,0.0,332.6666666666667,8.1,1010.9
144,2019-06-26,50,64.8,57.9,73.0,0.0,332.8333333333333,9.3,1015.4
145,2019-06-27,59,64.0,55.9,73.0,0.0,333.0,11.1,1018.4
146,2019-06-28,14,65.5,60.1,75.9,0.0,325.8181818181818,6.8,1017.0
147,2019-06-29,26,64.2,53.1,75.9,0.0,318.6363636363636,6.3,1017.1
148,2019-06-30,56,64.6,57.0,75.0,0.0,311.45454545454544,7.8,1017.1
149,2019-07-01,7,65.3,55.9,75.9,0.0,304.27272727272725,7.15,1017.2
150,2019-07-02,3,65.7,57.0,75.0,0.0,297.0909090909091,6.5,1015.0
