date,tavg,tmin,tmax,prcp,wdir,wspd,pres
2019-04-26,63.5,52.0,80.1,0.0,202.89473684210526,4.6,1014.2
2019-04-27,61.0,53.1,72.0,0.0,195.26315789473685,8.1,1013.4
2019-04-28,58.8,51.1,71.1,0.0,187.6315789473684,8.9,1010.4
2019-04-29,59.4,52.0,68.0,0.0,180.0,10.5,1009.1
2019-04-30,59.7,54.0,69.1,0.0,186.0,11.1,1013.1
2019-05-01,60.8,48.9,75.0,0.0,189.8095238095238,7.4,1016.4
2019-05-02,62.2,48.9,75.9,0.0,193.61904761904762,6.2,1016.2
2019-05-03,62.1,52.0,75.0,0.0,197.42857142857142,6.0,1014.4
2019-05-04,58.1,51.1,70.0,0.0,201.23809523809524,7.1,1012.5
2019-05-05,58.5,52.0,66.9,0.0155,205.04761904761904,7.4,1010.9
2019-05-06,59.4,53.1,69.1,0.031,208.85714285714286,5.7,1012.7
2019-05-07,60.8,55.9,69.1,0.0,212.66666666666666,7.5,1016.9
2019-05-08,61.0,55.9,73.0,0.0,216.47619047619048,7.9,1014.7
2019-05-09,61.3,57.0,68.0,0.0,220.28571428571428,6.6,1009.1
2019-05-10,63.3,57.0,75.0,0.0,224.0952380952381,7.8,1009.7
2019-05-11,61.9,55.0,72.0,0.0,227.9047619047619,7.6,1014.3
2019-05-12,61.5,55.9,70.0,0.0,231.71428571428572,6.6,1015.2
2019-05-13,60.1,53.1,71.1,0.0,235.52380952380952,7.9,1016.7
2019-05-14,60.4,55.9,66.9,0.0,239.33333333333331,7.0,1016.6
2019-05-15,61.0,57.9,66.9,0.0033333333333333335,243.14285714285714,10.1,1009.7
2019-05-16,56.5,53.1,61.0,0.006666666666666667,246.95238095238096,8.6,1012.1
2019-05-17,56.7,52.0,66.0,0.01,250.76190476190476,7.8,1019.6
2019-05-18,52.9,46.9,60.1,0.013333333333333334,254.57142857142856,9.1,1013.3
2019-05-19,54.1,48.0,61.0,0.016666666666666666,258.3809523809524,5.9,1009.2
2019-05-20,56.7,48.9,66.0,0.02,262.1904761904762,5.8,1014.6
2019-05-21,55.8,51.1,60.1,0.013333333333333332,266.0,10.9,1013.5
2019-05-22,61.0,53.1,71.1,0.006666666666666666,327.0,11.3,1009.7
2019-05-23,62.4,54.0,73.9,0.0,327.1666666666667,8.8,1010.1
2019-05-24,62.2,55.9,72.0,0.0,327.3333333333333,8.9,1015.2
2019-05-25,60.8,55.0,70.0,0.0,327.5,7.5,1010.4
2019-05-26,55.8,53.1,62.1,0.0,327.6666666666667,9.1,1011.5
2019-05-27,57.4,52.0,64.9,0.0,327.8333333333333,6.3,1017.7
2019-05-28,61.0,54.0,72.0,0.0,328.0,7.6,1016.2
2019-05-29,61.9,54.0,75.9,0.0,328.1666666666667,7.5,1012.4
2019-05-30,59.9,55.9,68.0,0.0,328.3333333333333,7.4,1013.2
2019-05-31,64.4,55.0,78.1,0.0,328.5,6.0,1011.9
2019-06-01,65.5,55.9,80.1,0.0,328.6666666666667,6.3,1009.5
2019-06-02,63.9,55.9,75.0,0.0,328.8333333333333,10.0,1011.1
2019-06-03,65.8,57.0,77.0,0.0,329.0,6.4,1012.4
2019-06-04,70.7,57.9,84.9,0.0,329.1666666666667,5.8,1012.0
2019-06-05,70.3,62.1,82.9,0.0,329.3333333333333,6.2,1011.6
